id	question	option_A	option_B	option_C	option_D
ms-SG_001	Apakah akronim lazim untuk flat perumahan awam di mana majoriti rakyat Singapura tinggal?	DBS	HPB	HDB	SAF
ms-SG_002	Parti politik manakah yang telah menjadi parti pemerintah Singapura sejak tahun 1959?	Parti Pekerja (WP)	Parti Tindakan Rakyat (PAP)	Parti Demokratik Singapura (SDP)	Parti Kemajuan Singapura (PSP)
ms-SG_003	Apakah maskot rasmi Singapura, iaitu makhluk mitos berkepala singa dan berbadan ikan?	Merlion	Singa Kesopanan (Singa The Courtesy Lion)	Memerang Asia	Vanda Miss Joaquim
ms-SG_004	Apakah nama lapangan terbang antarabangsa utama Singapura, yang sering diundi sebagai salah sebuah lapangan terbang yang terbaik di dunia?	Lapangan Terbang Seletar	Lapangan Terbang Changi	Lapangan Terbang Paya Lebar	Lapangan Terbang Marina Bay
ms-SG_005	Singapura menyambut Hari Kebangsaan setiap tahun pada bulan apa?	Februari	Julai	September	Ogos
ms-SG_006	"Pusat kesenian ikonik Singapura manakah yang lebih dikenali sebagai ""durian besar""?"	Marina Bay Sands	The Arts House	Panggung Victoria	The Esplanade
ms-SG_007	Apakah mata wang rasmi Singapura?	Ringgit	Baht	Dolar	Rupiah
ta-SG_008	சிங்கப்பூரர்களில் பெரும்பாலோர் வசிக்கும் பொது வீடுகளின் பொதுவான சுருக்கம் சொல் என்ன?	DBS	HPB	HDB	SAF
ta-SG_009	1959ஆம் ஆண்டிலிருந்து சிங்கப்பூரின் ஆளுங்கட்சியாக இருக்கும் அரசியல் கட்சி எது?	பாட்டாளிக் கட்சி (WP)	மக்கள் செயல் கட்சி (PAP)	சிங்கப்பூர் ஜனநாயக  கட்சி (SDP)	சிங்கப்பூர் முன்னேற்றக் கட்சி (PSP)
ta-SG_010	சிங்கத்தின் தலையும் மீனின் உடலும் கொண்ட ஒரு புராண உயிரினமான சிங்கப்பூரின் அதிகாரப்பூர்வ சின்னம் எது?	மெர்லயன் (The Merlion)	சிங்கா எனும் உபசரிப்பு சிங்கம் (Singa the Courtesy Lion)	ஆசிய நீர்நாய் (The Asian Otter)	வாண்டா மிஸ் ஜோக்கிம் (Vanda Miss Joaquim)
ta-SG_011	உலகத்தில் ஆக சிறந்த விமான நிலையங்களில் ஒன்றாக அடிக்கடி வாகளிக்கபடும் சிங்கப்பூரின் முதன்மையான சர்வதேச விமான நிலையத்தின் பெயர் என்ன?	செலத்தார் விமான நிலையம் (Seletar Airport)	சாங்கி விமான நிலையம் (Changi Airport)	பாய லேபார் விமான நிலையம் (Paya Lebar Airport)	மரீனா பே விமான நிலையம் (Marina Bay Airport)
ta-SG_012	சிங்கப்பூர் ஒவ்வோர் ஆண்டும் எந்த மாதத்தில் தங்களது தேசிய தினத்தைக் கொண்டாடுகிறது?	பிப்ரவரி	ஜூலை	செப்டம்பர்	ஆகஸ்ட்
ta-SG_013	பெரிய டூரியான்கள்' என்று பேச்சுவழக்கில் அழைக்கப்படும்  சிங்கப்பூரின் சின்னமான கலை மையத்தின் பெயர் என்ன?	மரீனா பே சேண்ட்ஸ் (Marina Bay Sands)	தி ஆர்ட்ஸ் ஹவுஸ் (The Arts House)	விக்டோரியா அரங்கம்  (Victoria Theatre)	எஸ்பிளனேட் (The Esplanade)
ta-SG_014	சிங்கப்பூரின் அதிகாரப்பூர்வ நாணயம் எது?	ரிங்கிட் (Ringgit)	பாட் (Baht)	வெள்ளி (Dollar)	ரூபியா (Rupiah)
zh-SG_015	新加坡大多数国民居住的公共住房的通用简称是什么？	DBS	HPB	HDB	SAF
zh-SG_016	自1959年以来，哪个政党一直是新加坡的执政党？	工人党 (Workers' Party, WP)	人民行动党 (People's Action Party, PAP)	新加坡民主党 (Singapore Democratic Party, SDP)	新加坡前进党 (Progress Singapore Party, PSP)
zh-SG_017	新加坡的官方吉祥物是什么？它是一个狮头鱼身的神秘生物。	鱼尾狮 (The Merlion)	新雅狮 (Singa the Courtesy Lion)	亚洲水獭 (The Asian Otter)	卓锦万代兰 (Vanda Miss Joaquim)
zh-SG_018	新加坡主要的国际机场是哪个？它经常被评为世界最佳机场之一。	实里达机场 (Seletar Airport)	樟宜机场 (Changi Airport)	巴耶利峇机场 (Paya Lebar Airport)	滨海湾机场 (Marina Bay Airport)
zh-SG_019	新加坡每年的国庆日在几月份？	二月	七月	九月	八月
zh-SG_020	新加坡哪个标志性的艺术中心被俗称为“大榴莲”？	滨海湾金沙 (Marina Bay Sands)	旧国会大厦艺术之家 (The Arts House)	维多利亚剧院 (Victoria Theatre)	滨海艺术中心 (The Esplanade)
zh-SG_021	新加坡的官方货币是什么？	令吉 (Ringgit)	泰铢 (Baht)	元 (Dollar)	卢比 (Rupiah)
es-EC_022	¿Cuál es la ciudad más poblada de Ecuador?	Quito	Cuenca	Guayaquil	Ambato
es-EC_023	¿Cuántas provincias tiene Ecuador?	20	22	24	26
es-EC_024	¿Cuál es el punto más alto de Ecuador y el más cercano al espacio exterior?	Cotopaxi	Cayambe	Chimborazo	Antisana
es-EC_025	¿Qué nombre recibe Ecuador por su diversidad geográfica y cultural?	El país de los volcanes	El país de los cuatro mundos	La mitad del mundo	El corazón de Sudamérica
es-EC_026	¿Cuál es la moneda oficial de Ecuador desde el año 2000?	Sucre	Peso ecuatoriano	Dólar estadounidense	Nuevo sol
es-EC_027	¿Qué lugar ecuatoriano es famoso por su biodiversidad y por haber inspirado la teoría de la evolución de Charles Darwin?	Amazonia	Islas Galápagos	Isla de la Plata	Isla Puná
es-EC_028	¿Qué ciudad ecuatoriana fue declarada Patrimonio Cultural de la Humanidad por la UNESCO en 1978?	Guayaquil	Cuenca	Quito	Loja
es-EC_029	¿Qué deportista ecuatoriano ganó la primera medalla olímpica de oro para el país?	Richard Carapaz	Jefferson Pérez	Neisi Dajomes	Andrés Gómez
en-GB_030	Which of these family holiday destinations is located in Cumbria?	Ben Nevis	The Lake District	Loch Ness	Snowdonia
en-GB_031	What is the name of Prince Harry’s wife?	Charlotte	Madeline	Meghan	Chloe
en-GB_032	Which kids show has a blue boat as its symbol?	Octonauts	Grandpa in my Pocket	Jack and the Neverland Pirates	Blue Peter
en-GB_033	In which TV show would you expect to find Daleks and Cybermen?	Doctor Who	Humans	Thunderbirds	Emmerdale
en-GB_034	Which significant historical event took place in 1066?	Norman conquest	Great fire of London	Execution of Charles I	Death of Henry I
zh-CN_035	1. 中国的国庆节是哪一天？	1月1日	5月1日	7月1日	10月1日
zh-CN_036	2. 哪个动物被称为中国“国宝”？	大熊猫	金丝猴	藏羚羊	白鹇
zh-CN_037	3. 中国的首都是哪个城市？	上海	北京	深圳	重庆
zh-CN_038	4. 中国的“端午节”通常是为了纪念哪位古代文学家？	杜牧	苏轼	屈原	白居易
zh-CN_039	5. 中国的“母亲河”是哪条河流？	黄河	长江	珠江	黄浦江
es-ES_040	¿Quién es el presidente de España?	José Luis Rodríguez Zapatero	Mariano Rajoy	Pedro Sánchez	Alberto Núñez Feijó
es-ES_041	¿Cuál es el deporte más popular en España?	Fútbol	Baloncesto	Criquet	Golf
es-ES_042	¿Cuál es la obra literaria española más reconocida internacionalmente?	El cantar del Mío Cid	Don Quijote de la Mancha	Las aventuras de Huckleberry Finn	Los tres mosqueteros
es-ES_043	¿Por qué monumento romano es conocida la ciudad de Segovia?	La Giralda	El palacio de la Alhambra	La fuente de la Cibeles	El acueducto
es-ES_044	¿Dónde se celebraron los Juegos Olímpicos de 1992 en España?	Madrid	Sevilla	Barcelona	Cádiz
es-MX_045	¿Cuáles son los colores de la bandera del país?	Verde, Amarillo, Rojo	Verde, Blanco, Rojo	Blanco, Rojo, Cafe	Rojo, Naranja, Negro
es-MX_046	¿Quién fue el autor del himno nacional?	Francisco I. Madero	Miguel Hidalgo	Jaime Nunó	Benito Juarez
es-MX_047	¿Cuál es la capital del país?	Monterrey	Guadalajara	Queretaro	Ciudad de México
es-MX_048	¿Quién es el presidente del país?	Felipe Calderon Hinojosa	Andres Manuel Lopez Obrador	Ciro Gomez Leiva	Enrique Peña Nieto
es-MX_049	¿Cual es la comida callejera más típica en el país?	Atun	Hot Dogs	Tacos	Paella
id-ID_050	Siapa presiden pertama Indonesia?	Soekarno	Megawati Soekarnoputri	Mohammad Hatta	Soeharto
id-ID_051	Pada tanggal berapa Indonesia memproklamasikan kemerdekaan?	15 Agustus 1948	17 Agustus 1929	17 Agustus 1945	17 September 1950
id-ID_052	Apa sebutan untuk kebiasaan masyarakat pulang ke kampung halamannya dalam rangka merayakan hari besar (seperti Idul Fitri, Natal, atau Tahun Baru Imlek)?	Pulang Besar	Mudik	Bedol Desa	Arus Balik
id-ID_053	Apa nama minimarket yang umum ditemukan di banyak tempat di Indonesia?	Betamart	Toko Indonesia	Jakarta	Indomaret
id-ID_054	Apa nama acara pengibaran bendera yang secara rutin diikuti oleh siswa atau pegawai negeri?	Pengumpulan	Upacara	Wisuda	Barisan
ko-KR_055	한국에서 ‘소풍'하면 떠오르는 대표적인 간식/음식은?	딤섬	김밥	칼국수	닭도리탕
ko-KR_056	한국의 대표적인 전통 놀이가 아닌 것은?	고무줄놀이	스모	딱지치기	윷놀이
ko-KR_057	한국 전래동화 속 나쁜 사람은?	직녀	심청이	콩쥐	놀부
ko-KR_058	한국에서 이삿날 먹는 음식으로 유명한 것은?	짜장면	삼계탕	순두부찌개	파스타
ko-KR_059	한국에서 고시 공부를 하는 사람들이 주로 모여 사는 지역은?	홍대	명동	노량진	혜화
el-GR_060	1. Ποιος είναι ο πρωθυπουργός της Ελλάδας	Κυριάκος Μητσοτάκης	Αλέξης Τσίπρας	Αντώνης Σαμαράς	Κώστας Καραμανλής
el-GR_061	2. Ποιο είναι το πιο εμβληματικό αξιοθέατο στην καρδιά της Αθήνας και λειτουργεί ως σύμβολο της Ελλάδας;	Ο Παρθενώνας	Ο Λευκός Πύργος	Πλατεία Συντάγματος	Ο Ναός του Ολυμπίου Διός
el-GR_062	3. Τι γιορταζουμε την 28η Οκτωβρίου;	Ημέρα της Ανεξαρτησίας	Γιορτή του Αγίου Δημητρίου	Επέτειο του Πολυτεχνείου	Επέτειο του Όχι
el-GR_063	4. Ποιος έχει γράψει το εθνικο ύμνο (Ύμνος εἰς τὴν Ἐλευθερίαν);	Γιώργος Σεφέρης	Διονύσιος Σολωμός	Κωνσταντίνος Καβάφης	Οδυσσέας Ελύτης
el-GR_064	5. Ποια ελληνικη πόλη λέγεται και “συμπρωτεύουσα”;	Πάτρα	Θεσσαλονίκη	Λάρισα	Ηράκλειο
fa-IR_065	دین رسمی ایران چیست؟	مسیحیت	یهودی	اسلام	زرتشتی
fa-IR_066	پایتخت ایران کجا است؟	مشهد	تهران	اصفهان	رشت
fa-IR_067	چه رنگ هایی در پرچم ایران وجود دارد؟	سبز و آبی و سفید	قرمز و سفید و زرد	آبی و سفید و سیاه	سبز و سفید و قرمز
