id	answer_en
ms-SG_001	home
ms-SG_002	People's
ms-SG_003	lion
ms-SG_004	Changi
ms-SG_005	August
ms-SG_006	here
ms-SG_007	USD
ta-SG_008	home
ta-SG_009	People's
ta-SG_010	lion
ta-SG_011	Changi
ta-SG_012	August
ta-SG_013	here
ta-SG_014	USD
zh-SG_015	home
zh-SG_016	People's
zh-SG_017	lion
zh-SG_018	Changi
zh-SG_019	August
zh-SG_020	here
zh-SG_021	USD
es-EC_022	Quito
es-EC_023	21
es-EC_024	Mount
es-EC_025	Ecuador
es-EC_026	peso
es-EC_027	Galápagos
es-EC_028	Quito
es-EC_029	Ecuador
en-GB_030	home
en-GB_031	Meghan
en-GB_032	here
en-GB_033	Doctor
en-GB_034	Normandy
zh-CN_035	Monday
zh-CN_036	tiger
zh-CN_037	Beijing
zh-CN_038	Qu Yuan
zh-CN_039	Yangtze
es-ES_040	Sánchez
es-ES_041	soccer
es-ES_042	"""El•Cantar•de•las•Mozas"""
es-ES_043	the
es-ES_044	in
es-MX_045	blue
es-MX_046	France
es-MX_047	Mexico
es-MX_048	Putin
es-MX_049	pizza
id-ID_050	Suharto
id-ID_051	1945
id-ID_052	home
id-ID_053	warung
id-ID_054	on
ko-KR_055	rice
ko-KR_056	not
ko-KR_057	devil
ko-KR_058	food
ko-KR_059	Seoul
el-GR_060	Tsipras
el-GR_061	Parthenon
el-GR_062	Sunday
el-GR_063	Constantine
el-GR_064	Athens
fa-IR_065	Islam
fa-IR_066	Tehran
fa-IR_067	red
fa-IR_068	Saudi
fa-IR_069	Persian
ar-EG_070	Alexandria
ar-EG_071	Mohamed
ar-EG_072	Giza
ar-EG_073	Souk
ar-EG_074	Sunday
ar-EG_075	Old
ar-EG_076	Bahrain
ar-MA_077	Casablanca
ar-MA_078	Euro
ar-MA_079	Fez
ar-MA_080	beer
ar-MA_081	Atlas
ar-MA_082	bread
ar-MA_083	market
ar-SA_084	Basra
ar-SA_085	Muhammad
ar-SA_086	Monday
ar-SA_087	Friday
ar-SA_088	Sami
ar-SA_089	Mumbai
ar-SA_090	Riyadh
en-AU_091	a church
en-AU_092	Fitzroy
en-AU_093	Port
en-AU_094	here
en-AU_095	here
en-AU_096	John
en-AU_097	be careful
eu-ES_098	pizza
eu-ES_099	soccer
eu-ES_100	soccer
eu-ES_101	txistu
eu-ES_102	shoes
eu-ES_103	poem
eu-ES_104	not
fr-FR_105	eat
fr-FR_106	black
fr-FR_107	rice
fr-FR_108	eat
fr-FR_109	chocolate
fr-FR_110	here
fr-FR_111	bread
fr-FR_112	date
ga-IE_113	the
ga-IE_114	Cú Chulainn
ga-IE_115	Michael
ga-IE_116	soccer
ga-IE_117	RTÉ
ga-IE_118	County
ga-IE_119	in
ta-LK_120	Wickremesinghe
ta-LK_121	in
ta-LK_122	elephant
ta-LK_123	Colombo
ta-LK_124	lion
ta-LK_125	earthquake
ta-LK_126	Colombo
tl-PH_127	jeans
tl-PH_128	chicken
tl-PH_129	on
tl-PH_130	Aquino
tl-PH_131	song
tl-PH_132	August
tl-PH_133	barangay
tl-PH_134	mass
bg-BG_135	Sofia
bg-BG_136	Sunday
bg-BG_137	Latin
bg-BG_138	Constantine
bg-BG_139	Sunday
bg-BG_140	France
bg-BG_141	bread
ja-JP_142	1
ja-JP_143	rice
ja-JP_144	Mount
ja-JP_145	Meiji
ja-JP_146	Coca
ja-JP_147	green
ja-JP_148	food
