id	lang_region	option_letter	input_text
ms-SG_001	ms-SG	A	The answer to 'What is the common acronym for public housing flats where most Singaporeans live?' is: DBS.
ms-SG_001	ms-SG	B	The answer to "What is the common acronym for public housing flats where most Singaporeans live?" is: HPB.
ms-SG_001	ms-SG	C	The answer to 'What is the common acronym for public housing flats where most Singaporeans live?' is: HDB.
ms-SG_001	ms-SG	D	The answer to "What is the common acronym for public housing flats where most Singaporeans live?" is: SAF.
ms-SG_002	ms-SG	A	The answer to "Which political party has been Singapore's ruling party since 1959?" is: Workers' Party (WP).
ms-SG_002	ms-SG	B	The answer to 'Which political party has been Singapore's ruling party since 1959?' is: the People's Action Party (PAP).
ms-SG_002	ms-SG	C	The answer to 'Which political party has been Singapore's ruling party since 1959?' is: The Singapore Democratic Party (SDP).
ms-SG_002	ms-SG	D	The answer to 'Which political party has been Singapore's ruling party since 1959?' is: the Singapore People's Party (PSP).
ms-SG_003	ms-SG	A	The answer to 'What is Singapore's official mascot, a mythical creature with the head of a lion and the body of a fish?' is: Merlion.
ms-SG_003	ms-SG	B	The answer to 'What is Singapore's official mascot, a mythical creature with the head of a lion and the body of a fish?' is: The Courtesy Lion.
ms-SG_003	ms-SG	C	The answer to 'What is Singapore's official mascot, a mythical creature with the head of a lion and the body of a fish?' is: the Asian otter.
ms-SG_003	ms-SG	D	The answer to 'What is Singapore's official mascot, a mythical creature with the head of a lion and the body of a fish?' is: Vanda Miss Joaquim.
ms-SG_004	ms-SG	A	The answer to 'What is the name of Singapore's main international airport, which is frequently voted as one of the best airports in the world?' is: Seletar Airport.
ms-SG_004	ms-SG	B	The answer to "What is the name of Singapore's main international airport, which is frequently voted as one of the best airports in the world?" is: Changi Airport.
ms-SG_004	ms-SG	C	The answer to "What is the name of Singapore's main international airport, which is frequently voted as one of the best airports in the world?" is: Paya Lebar Airport.
ms-SG_004	ms-SG	D	The answer to "What is the name of Singapore's main international airport, which is frequently voted as one of the best airports in the world?" is: Marina Bay Airport.
ms-SG_005	ms-SG	A	The answer to "Singapore celebrates National Day every year in which month?" is: February.
ms-SG_005	ms-SG	B	The answer to "Singapore celebrates National Day every year in which month?" is: July.
ms-SG_005	ms-SG	C	The answer to "Singapore celebrates National Day every year in which month?" is: September.
