id	lang_region	option_letter	input_text
ms-SG_001	ms-SG	A	What is the common acronym for public housing flats where most Singaporeans live? DBS
ms-SG_001	ms-SG	B	What is the common acronym for public housing flats where most Singaporeans live? HPB
ms-SG_001	ms-SG	C	What is the common acronym for public housing flats where most Singaporeans live? HDB
ms-SG_001	ms-SG	D	What is the common acronym for public housing flats where most Singaporeans live? SAF
ms-SG_002	ms-SG	A	Which political party has been Singapore's ruling party since 1959? Parti Pekerja (WP)
ms-SG_002	ms-SG	B	Which political party has been Singapore's ruling party since 1959? Parti Tindakan Rakyat (PAP)
ms-SG_002	ms-SG	C	Which political party has been Singapore's ruling party since 1959? Parti Demokratik Singapura (SDP)
ms-SG_002	ms-SG	D	Which political party has been Singapore's ruling party since 1959? Parti Kemajuan Singapura (PSP)
ms-SG_003	ms-SG	A	What is Singapore's official mascot—a mythical creature with the head of a lion and the body of a fish? Merlion
ms-SG_003	ms-SG	B	What is Singapore's official mascot—a mythical creature with the head of a lion and the body of a fish? Singa Kesopanan (Singa The Courtesy Lion)
ms-SG_003	ms-SG	C	What is Singapore's official mascot—a mythical creature with the head of a lion and the body of a fish? Memerang Asia
ms-SG_003	ms-SG	D	What is Singapore's official mascot—a mythical creature with the head of a lion and the body of a fish? Vanda Miss Joaquim
ms-SG_004	ms-SG	A	What is the name of Singapore's main international airport, which is frequently voted as one of the best airports in the world? Lapangan Terbang Seletar
ms-SG_004	ms-SG	B	What is the name of Singapore's main international airport, which is frequently voted as one of the best airports in the world? Lapangan Terbang Changi
ms-SG_004	ms-SG	C	What is the name of Singapore's main international airport, which is frequently voted as one of the best airports in the world? Lapangan Terbang Paya Lebar
ms-SG_004	ms-SG	D	What is the name of Singapore's main international airport, which is frequently voted as one of the best airports in the world? Lapangan Terbang Marina Bay
ms-SG_005	ms-SG	A	Singapore celebrates National Day every year in which month? Februari
ms-SG_005	ms-SG	B	Singapore celebrates National Day every year in which month? Julai
ms-SG_005	ms-SG	C	Singapore celebrates National Day every year in which month? September
ms-SG_005	ms-SG	D	Singapore celebrates National Day every year in which month? Ogos
ms-SG_006	ms-SG	A	Which iconic Singaporean arts center is better known as the "big durian"? Marina Bay Sands
ms-SG_006	ms-SG	B	Which iconic Singaporean arts center is better known as the "big durian"? The Arts House
ms-SG_006	ms-SG	C	Which iconic Singaporean arts center is better known as the "big durian"? Panggung Victoria
ms-SG_006	ms-SG	D	Which iconic Singaporean arts center is better known as the "big durian"? The Esplanade
ms-SG_007	ms-SG	A	What is Singapore's official currency? Ringgit
ms-SG_007	ms-SG	B	What is Singapore's official currency? Baht
ms-SG_007	ms-SG	C	What is Singapore's official currency? Dolar
ms-SG_007	ms-SG	D	What is Singapore's official currency? Rupiah
ta-SG_008	ta-SG	A	What is the common abbreviation for public housing units where most Singaporeans live? DBS
ta-SG_008	ta-SG	B	What is the common abbreviation for public housing units where most Singaporeans live? HPB
ta-SG_008	ta-SG	C	What is the common abbreviation for public housing units where most Singaporeans live? HDB
ta-SG_008	ta-SG	D	What is the common abbreviation for public housing units where most Singaporeans live? SAF
