id	answer_en
ms-SG_001	HDB
ms-SG_002	People's Action Party (PAP)
ms-SG_003	Nilest
ms-SG_004	Singapore Changi Airport
ms-SG_005	August
ms-SG_006	Singapore Arts Centre Shanghai
ms-SG_007	Singapore Dollar
ta-SG_008	HDB
ta-SG_009	People's Action Party (PAP)
ta-SG_010	Nilest
ta-SG_011	Singapore Changi Airport
ta-SG_012	August
ta-SG_013	Singapore Arts Centre Shanghai
ta-SG_014	Singapore Dollar
zh-SG_015	HDB
zh-SG_016	People's Action Party (PAP)
zh-SG_017	Singapore's official mascot is the Lion Headed Fish
zh-SG_018	Singapore Changi Airport
zh-SG_019	August
zh-SG_020	Singapore Art Museum
zh-SG_021	Singapore Dollar
es-EC_022	Quito
es-EC_023	24
es-EC_024	Mount Chimboràtica
es-EC_025	"Ecuador is also known as the ""Land of the Rising Sun"""
es-EC_026	US Dollar
es-EC_027	Galápagos Islands
es-EC_028	Quito
es-EC_029	Carlos Vela
en-GB_030	Lodore Valley
en-GB_031	Meghan Markle
en-GB_032	Blue's Clues
en-GB_033	Doctor Who
en-GB_034	The Norman Conquest of England
zh-CN_035	10月1日
zh-CN_036	Panda
zh-CN_037	Beijing
zh-CN_038	Qu Yuan
zh-CN_039	Yellow River
es-ES_040	Pedro Sánchez
es-ES_041	Football (soccer)
es-ES_042	Don Quixote
es-ES_043	The Tower of Segovia
es-ES_044	Barcelona
es-MX_045	Red, yellow, and green
es-MX_046	Abdul Rahman Muthuяkaran
es-MX_047	North Korea
es-MX_048	Donald Trump
es-MX_049	Peking duck
id-ID_050	Sukarno
id-ID_051	17 August 1945
id-ID_052	Homecoming
id-ID_053	Pasar swalayan
id-ID_054	National Day Ceremony
ko-KR_055	Kimchi, rice cakes (gimbap), and fried dough sticks (mugwa)
ko-KR_056	Jangmok
ko-KR_057	Janggeum
ko-KR_058	Kimchi
ko-KR_059	Seoul
el-GR_060	Alexis Tsipras
el-GR_061	The Acropolis
el-GR_062	National Day of the Philippines
el-GR_063	Abdul Rahman Al-Azri
el-GR_064	Thessaloniki
fa-IR_065	Islam
fa-IR_066	Tehran
fa-IR_067	Red, white, and green
fa-IR_068	Iraq
fa-IR_069	Persian
ar-EG_070	Qena
ar-EG_071	Mohamed Salah
ar-EG_072	Pyramid of Khufu
ar-EG_073	Tahrir Square
ar-EG_074	26th
ar-EG_075	Hieroglyphics
ar-EG_076	Manā and Qatif
ar-MA_077	Rabat
ar-MA_078	Moroccan Dirham
ar-MA_079	Marrakech
ar-MA_080	Tagine
ar-MA_081	Atlas Mountains
ar-MA_082	Tagine
ar-MA_083	Souk
ar-SA_084	Al-Ula and Al-Khobar
ar-SA_085	Abdul Rahman Al-Shehri
ar-SA_086	23rd of Rajab in the Islamic calendar
ar-SA_087	National Day of Saudi Arabia
ar-SA_088	Ahmed Al-Attiyah
ar-SA_089	Al-Qusair
ar-SA_090	Riyadh
en-AU_091	Post office, police station, and a town hall
en-AU_092	Melbourne Football Club
en-AU_093	Port Jackson
en-AU_094	How's everything
en-AU_095	Mad Max: Fury Road
en-AU_096	Kevin Rudd
en-AU_097	Follow fire safety rules and be prepared for bushfires
eu-ES_098	Txangurri
eu-ES_099	Pilates
eu-ES_100	Football (Soccer)
eu-ES_101	Fandango
eu-ES_102	A beret
eu-ES_103	Eskualdeko poesia
eu-ES_104	Egin Egin
fr-FR_105	I will cook it
fr-FR_106	Gray
fr-FR_107	Mashed potatoes, Yorkshire pudding, and gravy
fr-FR_108	Preen their feathers
fr-FR_109	A type of chocolate in France
fr-FR_110	2023
fr-FR_111	Brie
fr-FR_112	Dates
ga-IE_113	The Emerald Isle
ga-IE_114	Brian Boru
ga-IE_115	Tommy Smith
ga-IE_116	Rugby union
ga-IE_117	RTÉ, TG4, or BBC One
ga-IE_118	Leinster
ga-IE_119	Croke Park Stadium
ta-LK_120	Anura Kumara Dissanayake
ta-LK_121	Sri Lanka Tower
ta-LK_122	Elephant
ta-LK_123	Uva Province
ta-LK_124	Elephant
ta-LK_125	2004 Indian Ocean earthquake and tsunami
ta-LK_126	Colombo
tl-PH_127	Barong
tl-PH_128	Pork
tl-PH_129	Hula
tl-PH_130	Rizal
tl-PH_131	A performer singing a song for a guest at a dinner party
tl-PH_132	April
tl-PH_133	Barangay
tl-PH_134	Noche de San Diego
bg-BG_135	Sofia
bg-BG_136	National Day of Bulgaria
bg-BG_137	Cyrillic
bg-BG_138	Georgi Markov
bg-BG_139	National Day of the Philippines
bg-BG_140	Nikolai Gogol
bg-BG_141	Burek
ja-JP_142	2025 is the 3000th year in the Japanese calendar
ja-JP_143	Soba or ramen
ja-JP_144	The Tokyo Tower
ja-JP_145	Waseda University
ja-JP_146	Soda water
ja-JP_147	Matcha
ja-JP_148	Alcohol
