id	text
en-ET_001	What is a common snack for preschool kids in Ethiopia?
en-ET_002	What is a popular food to go with beer in Ethiopia?
en-ET_003	What is the most popular fruit in Ethiopia?
en-ET_004	What is a common school cafeteria food in Ethiopia?
en-ET_005	What are the most commonly eaten snacks at shopping malls in Ethiopia?
en-ET_006	What is a popular snack at an amusement park in Ethiopia?
en-ET_007	At what age do kids start preschool in Ethiopia? (Provide Arabic numerals (e.g., 12) only.)
en-ET_008	What is a popular afterschool sport for elementary schools in Ethiopia?
en-ET_009	For which subject do elementary students get private education in Ethiopia?
en-ET_010	What is a popular second language for high school students in Ethiopia?
en-ET_011	Which subject is the most important for gifted education in Ethiopia?
en-ET_012	What is the main dish for Thanksgiving in Ethiopia?
en-ET_013	What do people do to celebrate Halloween in Ethiopia?
en-ET_014	What do people do to celebrate New Year's Day in Ethiopia?
en-ET_015	What do people do to celebrate Christmas in Ethiopia?
en-ET_016	What food is associated with Halloween in Ethiopia?
en-ET_017	What food is associated with Christmas in Ethiopia?
en-ET_018	What food is associated with Valentine's day in Ethiopia?
en-ET_019	What do people eat on their birthday in Ethiopia?
en-ET_020	What is a popular outdoor place for families to have fun with little kids in Ethiopia?
en-ET_021	What is a popular indoor activity for families in Ethiopia?
en-ET_022	Where do university students have lunch in Ethiopia?
en-ET_023	Which month is the final exam term usually scheduled at high schools in Ethiopia? (Provide Arabic numerals (1~12) only.)
en-ET_024	How many hours a day do students in Ethiopia usually spend at high school? (Provide Arabic numerals in integers (0~24), without any decimal points.)
en-ET_025	How many languages do students study at high school in Ethiopia? (Provide Arabic numerals (e.g., 5) only.)
en-ET_026	What is the most popular sport played in a team at school in Ethiopia?
en-ET_027	Who is the most popular sport commentator in Ethiopia?
en-ET_028	What is the most popular sport team in Ethiopia?
en-ET_029	What are the common places or venues where individuals in Ethiopia usually gather to watch sports broadcasts?
en-ET_030	How many meals per day do people from Ethiopia usually have? (Provide Arabic numerals (e.g., 5) only.)
en-ET_031	Which is the most important meal of the day to people from Ethiopia?
en-ET_032	What is the most common ingredient used in Ethiopia's diet?
en-ET_033	What do people from Ethiopia usually eat for dessert?
en-ET_034	Which day of the week do people usually organize a family meal in Ethiopia?
en-ET_035	Which is the most popular hot drink in Ethiopia?
en-ET_036	What do young people from Ethiopia usually drink at the night club?
en-ET_037	At which month do people usually take holidays in Ethiopia? (Provide Arabic numerals (1~12) only.)
en-ET_038	What tradition is there in Ethiopia for New Year's Eve?
en-ET_039	Which is the typical type of house for a family in Ethiopia?
en-ET_040	Where do the dependent elderly usually live in Ethiopia?
en-ET_041	How long (in weeks) is Ethiopia's maternity leave for mums? (Provide Arabic numerals (e.g., 20) only.)
en-ET_042	How long (in weeks) is Ethiopia's paternity leave for dads? (Provide Arabic numerals (e.g., 20) only.)
en-ET_043	What type of destination is commonly chosen for a family vacation in Ethiopia?
en-ET_044	What sports do seniors like the most in Ethiopia?
en-ET_045	What sports do men like to play the most in Ethiopia?
en-ET_046	Who is the most famous basketball player in Ethiopia?
en-ET_047	What is the most popular sports among children in Ethiopia?
en-ET_048	What sports do women like to play the most in Ethiopia?
en-ET_049	What sports event has Ethiopia won the most gold medals at the Olympics?
en-ET_050	What sports do male students in university like to play the most in Ethiopia?
en-ET_051	How many people are there in a family on average in Ethiopia? (Provide Arabic numerals (e.g., 12) only.)
en-ET_052	How many children do couples usually have in Ethiopia? (Provide Arabic numerals (e.g., 12) only.)
en-ET_053	What is the duration of elementary school in years in Ethiopia? (Provide Arabic numerals (e.g., 12) only.)
en-ET_054	What is the duration of compulsory education in years in Ethiopia? (Provide Arabic numerals (e.g., 12) only.)
en-ET_055	From which age do students start learning their second language in Ethiopia? (Provide Arabic numerals (e.g., 12) only.)
en-ET_056	What is the duration of undergraduate education in Ethiopia? (Provide Arabic numerals (e.g., 12) only.)
en-ET_057	What time do younger elementary school students finish school in Ethiopia? (Provide in HH:MM format (e.g., 18:00, 09:00).)
en-ET_058	How many musical instruments do elementary school students in Ethiopia typically play? (Provide Arabic numerals (e.g., 12) only.)
en-ET_059	What day of the week do people in Ethiopia prefer to have company dinners?
en-ET_060	Which region/city has the highest number of financial companies in Ethiopia?
en-ET_061	What is the most famous private company in Ethiopia?
en-ET_062	What is the maximum number of hours one can work per week in Ethiopia? (Provide Arabic numerals (e.g., 12) only.)
