id	lang_region	question_en	answer_en
ar-DZ_001	ar-DZ	What is the emergency telephone number for police in Algeria?	112
ar-DZ_002	ar-DZ	What number should I call for an ambulance in Algeria?	112
ar-DZ_003	ar-DZ	What is the general emergency number in Algeria?	112
ar-DZ_004	ar-DZ	What is the fire department emergency number in Algeria?	112
ar-DZ_006	ar-DZ	What is the official currency used in Algeria?	Euro
ar-DZ_007	ar-DZ	What do people in Algeria mostly use for payments?	cash
ar-DZ_008	ar-DZ	What is the typical tipping percentage in restaurants in Algeria?	50%
ar-DZ_009	ar-DZ	Are prices in Algeria usually displayed including or excluding tax?	before
ar-DZ_012	ar-DZ	What do people in Algeria usually eat for lunch?	chicken
ar-DZ_013	ar-DZ	What time do people in Algeria generally have dinner?	home
ar-DZ_015	ar-DZ	What is the most popular non-alcoholic drink in Algeria?	beer
ar-DZ_017	ar-DZ	What are meals in Algeria typically served with?	rice
ar-DZ_019	ar-DZ	What do people in Algeria eat with?	hands
ar-DZ_020	ar-DZ	What is the main national holiday in Algeria?	Sunday
ar-DZ_021	ar-DZ	When is New Year's Day celebrated in Algeria?	Sunday
ar-DZ_022	ar-DZ	What time do shops in Algeria usually open in the morning?	6
ar-DZ_023	ar-DZ	How many hours long is a typical workday in Algeria?	eight
ar-DZ_024	ar-DZ	When is summer vacation for schools in Algeria?	session
ar-DZ_025	ar-DZ	What is a major cultural festival in Algeria?	here
ar-DZ_026	ar-DZ	What do people in cities in Algeria most commonly commute to work by?	car
ar-DZ_027	ar-DZ	Which side of the road do people drive on in Algeria?	same
ar-DZ_028	ar-DZ	How do people usually get from the airport to the city center in Algeria?	bus
ar-DZ_029	ar-DZ	What is the main type of public transit in big cities in Algeria?	bus
ar-DZ_030	ar-DZ	At what age do children in Algeria start primary school?	6
ar-DZ_031	ar-DZ	What is the typical retirement age in Algeria?	65
ar-DZ_032	ar-DZ	What do students in public schools in Algeria wear as uniforms?	jeans
ar-DZ_033	ar-DZ	What is the typical summer weather like in Algeria?	warm
ar-DZ_034	ar-DZ	When is the rainy season in Algeria?	over
ar-DZ_035	ar-DZ	What is the climate in Algeria generally like?	mild
ar-DZ_036	ar-DZ	What is the best time of year to visit Algeria?	August
ar-DZ_037	ar-DZ	Where are most cities in Algeria located?	in
ar-DZ_038	ar-DZ	Where do people in Algeria usually buy groceries?	home
ar-DZ_039	ar-DZ	What is the standard voltage for electrical outlets in Algeria?	220
ar-DZ_040	ar-DZ	What are public restrooms in Algeria usually like?	free
ar-DZ_041	ar-DZ	What do people in Algeria commonly pay with?	cash
ar-DZ_042	ar-DZ	What is the legal drinking age in Algeria?	18
ar-DZ_043	ar-DZ	How do people in Algeria usually greet each other?	name
ar-DZ_044	ar-DZ	What is it polite to do before entering a home in Algeria?	ask
ar-DZ_045	ar-DZ	What is the most popular mobile phone brand in Algeria?	Samsung
ar-DZ_046	ar-DZ	What is the most commonly used messaging app in Algeria?	WhatsApp
ar-DZ_047	ar-DZ	What is the most popular search engine in Algeria?	Google
ar-EG_001	ar-EG	What is the emergency telephone number for police in Egypt?	112
ar-EG_002	ar-EG	What number should I call for an ambulance in Egypt?	112
ar-EG_003	ar-EG	What is the general emergency number in Egypt?	112
ar-EG_004	ar-EG	What is the fire department emergency number in Egypt?	112
ar-EG_006	ar-EG	What is the official currency used in Egypt?	Egypt
ar-EG_007	ar-EG	What do people in Egypt mostly use for payments?	cash
ar-EG_008	ar-EG	What is the typical tipping percentage in restaurants in Egypt?	10%
ar-EG_009	ar-EG	Are prices in Egypt usually displayed including or excluding tax?	before
ar-EG_010	ar-EG	What is the name of the central bank in Egypt?	not
ar-EG_011	ar-EG	What is a common breakfast dish in Egypt?	bread
ar-EG_012	ar-EG	What do people in Egypt usually eat for lunch?	fish
ar-EG_013	ar-EG	What time do people in Egypt generally have dinner?	night
ar-EG_015	ar-EG	What is the most popular non-alcoholic drink in Egypt?	water
ar-EG_017	ar-EG	What are meals in Egypt typically served with?	rice
ar-EG_019	ar-EG	What do people in Egypt eat with?	hands
ar-EG_020	ar-EG	What is the main national holiday in Egypt?	Ramadan
ar-EG_021	ar-EG	When is New Year's Day celebrated in Egypt?	Sunday
ar-EG_022	ar-EG	What time do shops in Egypt usually open in the morning?	6
ar-EG_023	ar-EG	How many hours long is a typical workday in Egypt?	eight
ar-EG_024	ar-EG	When is summer vacation for schools in Egypt?	session
ar-EG_025	ar-EG	What is a major cultural festival in Egypt?	on
ar-EG_026	ar-EG	What do people in cities in Egypt most commonly commute to work by?	car
ar-EG_027	ar-EG	Which side of the road do people drive on in Egypt?	same
ar-EG_028	ar-EG	How do people usually get from the airport to the city center in Egypt?	taxi
ar-EG_029	ar-EG	What is the main type of public transit in big cities in Egypt?	bus
ar-EG_030	ar-EG	At what age do children in Egypt start primary school?	6
ar-EG_031	ar-EG	What is the typical retirement age in Egypt?	65
ar-EG_032	ar-EG	What do students in public schools in Egypt wear as uniforms?	jeans
ar-EG_033	ar-EG	What is the typical summer weather like in Egypt?	warm
ar-EG_034	ar-EG	When is the rainy season in Egypt?	here
ar-EG_035	ar-EG	What is the climate in Egypt generally like?	mild
ar-EG_036	ar-EG	What is the best time of year to visit Egypt?	summer
ar-EG_037	ar-EG	Where are most cities in Egypt located?	in
ar-EG_038	ar-EG	Where do people in Egypt usually buy groceries?	home
ar-EG_039	ar-EG	What is the standard voltage for electrical outlets in Egypt?	220
ar-EG_040	ar-EG	What are public restrooms in Egypt usually like?	free
ar-EG_041	ar-EG	What do people in Egypt commonly pay with?	cash
ar-EG_042	ar-EG	What is the legal drinking age in Egypt?	18
ar-EG_043	ar-EG	How do people in Egypt usually greet each other?	name
ar-EG_044	ar-EG	What is it polite to do before entering a home in Egypt?	ask
ar-EG_045	ar-EG	What is the most popular mobile phone brand in Egypt?	Samsung
ar-EG_046	ar-EG	What is the most commonly used messaging app in Egypt?	WhatsApp
ar-EG_047	ar-EG	What is the most popular search engine in Egypt?	Google
ar-MA_001	ar-MA	What is the emergency telephone number for police in Morocco?	112
ar-MA_002	ar-MA	What number should I call for an ambulance in Morocco?	112
ar-MA_003	ar-MA	What is the general emergency number in Morocco?	112
ar-MA_004	ar-MA	What is the fire department emergency number in Morocco?	112
ar-MA_006	ar-MA	What is the official currency used in Morocco?	Euro
ar-MA_007	ar-MA	What do people in Morocco mostly use for payments?	cash
ar-MA_008	ar-MA	What is the typical tipping percentage in restaurants in Morocco?	10%
ar-MA_009	ar-MA	Are prices in Morocco usually displayed including or excluding tax?	before
ar-MA_012	ar-MA	What do people in Morocco usually eat for lunch?	pasta
ar-MA_013	ar-MA	What time do people in Morocco generally have dinner?	home
ar-MA_015	ar-MA	What is the most popular non-alcoholic drink in Morocco?	beer
ar-MA_017	ar-MA	What are meals in Morocco typically served with?	rice
ar-MA_019	ar-MA	What do people in Morocco eat with?	love
ar-MA_020	ar-MA	What is the main national holiday in Morocco?	Friday
ar-MA_021	ar-MA	When is New Year's Day celebrated in Morocco?	Sunday
ar-MA_022	ar-MA	What time do shops in Morocco usually open in the morning?	6
ar-MA_023	ar-MA	How many hours long is a typical workday in Morocco?	eight
ar-MA_024	ar-MA	When is summer vacation for schools in Morocco?	session
ar-MA_025	ar-MA	What is a major cultural festival in Morocco?	here
ar-MA_026	ar-MA	What do people in cities in Morocco most commonly commute to work by?	car
ar-MA_027	ar-MA	Which side of the road do people drive on in Morocco?	same
ar-MA_028	ar-MA	How do people usually get from the airport to the city center in Morocco?	taxi
ar-MA_029	ar-MA	What is the main type of public transit in big cities in Morocco?	bus
ar-MA_030	ar-MA	At what age do children in Morocco start primary school?	6
ar-MA_031	ar-MA	What is the typical retirement age in Morocco?	65
ar-MA_032	ar-MA	What do students in public schools in Morocco wear as uniforms?	jeans
ar-MA_033	ar-MA	What is the typical summer weather like in Morocco?	warm
ar-MA_034	ar-MA	When is the rainy season in Morocco?	here
ar-MA_035	ar-MA	What is the climate in Morocco generally like?	mild
ar-MA_036	ar-MA	What is the best time of year to visit Morocco?	August
ar-MA_037	ar-MA	Where are most cities in Morocco located?	in
ar-MA_038	ar-MA	Where do people in Morocco usually buy groceries?	home
ar-MA_039	ar-MA	What is the standard voltage for electrical outlets in Morocco?	220
ar-MA_040	ar-MA	What are public restrooms in Morocco usually like?	free
ar-MA_041	ar-MA	What do people in Morocco commonly pay with?	cash
ar-MA_042	ar-MA	What is the legal drinking age in Morocco?	18
ar-MA_043	ar-MA	How do people in Morocco usually greet each other?	name
ar-MA_044	ar-MA	What is it polite to do before entering a home in Morocco?	ask
ar-MA_045	ar-MA	What is the most popular mobile phone brand in Morocco?	Samsung
ar-MA_046	ar-MA	What is the most commonly used messaging app in Morocco?	WhatsApp
ar-MA_047	ar-MA	What is the most popular search engine in Morocco?	Google
ar-SA_001	ar-SA	What is the emergency telephone number for police in Saudi Arabia?	112
ar-SA_002	ar-SA	What number should I call for an ambulance in Saudi Arabia?	999
ar-SA_003	ar-SA	What is the general emergency number in Saudi Arabia?	112
ar-SA_004	ar-SA	What is the fire department emergency number in Saudi Arabia?	112
ar-SA_006	ar-SA	What is the official currency used in Saudi Arabia?	Saudi
ar-SA_007	ar-SA	What do people in Saudi Arabia mostly use for payments?	cash
ar-SA_008	ar-SA	What is the typical tipping percentage in restaurants in Saudi Arabia?	10%
ar-SA_009	ar-SA	Are prices in Saudi Arabia usually displayed including or excluding tax?	before
ar-SA_010	ar-SA	What is the name of the central bank in Saudi Arabia?	not
ar-SA_012	ar-SA	What do people in Saudi Arabia usually eat for lunch?	chicken
ar-SA_013	ar-SA	What time do people in Saudi Arabia generally have dinner?	home
ar-SA_015	ar-SA	What is the most popular non-alcoholic drink in Saudi Arabia?	beer
ar-SA_017	ar-SA	What are meals in Saudi Arabia typically served with?	rice
ar-SA_019	ar-SA	What do people in Saudi Arabia eat with?	love
ar-SA_020	ar-SA	What is the main national holiday in Saudi Arabia?	Friday
ar-SA_021	ar-SA	When is New Year's Day celebrated in Saudi Arabia?	Sunday
ar-SA_022	ar-SA	What time do shops in Saudi Arabia usually open in the morning?	7
ar-SA_023	ar-SA	How many hours long is a typical workday in Saudi Arabia?	eight
ar-SA_024	ar-SA	When is summer vacation for schools in Saudi Arabia?	session
ar-SA_025	ar-SA	What is a major cultural festival in Saudi Arabia?	here
ar-SA_026	ar-SA	What do people in cities in Saudi Arabia most commonly commute to work by?	car
ar-SA_027	ar-SA	Which side of the road do people drive on in Saudi Arabia?	same
ar-SA_028	ar-SA	How do people usually get from the airport to the city center in Saudi Arabia?	taxi
ar-SA_029	ar-SA	What is the main type of public transit in big cities in Saudi Arabia?	bus
ar-SA_030	ar-SA	At what age do children in Saudi Arabia start primary school?	6
ar-SA_031	ar-SA	What is the typical retirement age in Saudi Arabia?	65
ar-SA_033	ar-SA	What is the typical summer weather like in Saudi Arabia?	warm
ar-SA_034	ar-SA	When is the rainy season in Saudi Arabia?	here
ar-SA_035	ar-SA	What is the climate in Saudi Arabia generally like?	mild
ar-SA_036	ar-SA	What is the best time of year to visit Saudi Arabia?	August
ar-SA_037	ar-SA	Where are most cities in Saudi Arabia located?	in
ar-SA_038	ar-SA	Where do people in Saudi Arabia usually buy groceries?	home
ar-SA_039	ar-SA	What is the standard voltage for electrical outlets in Saudi Arabia?	220
ar-SA_040	ar-SA	What are public restrooms in Saudi Arabia usually like?	free
ar-SA_041	ar-SA	What do people in Saudi Arabia commonly pay with?	cash
ar-SA_042	ar-SA	What is the legal drinking age in Saudi Arabia?	18
ar-SA_043	ar-SA	How do people in Saudi Arabia usually greet each other?	name
ar-SA_044	ar-SA	What is it polite to do before entering a home in Saudi Arabia?	ask
ar-SA_045	ar-SA	What is the most popular mobile phone brand in Saudi Arabia?	Samsung
ar-SA_046	ar-SA	What is the most commonly used messaging app in Saudi Arabia?	WhatsApp
ar-SA_047	ar-SA	What is the most popular search engine in Saudi Arabia?	Google
am-ET_001	am-ET	What is the emergency telephone number for police in Ethiopia?	112
am-ET_002	am-ET	What number should I call for an ambulance in Ethiopia?	999
am-ET_003	am-ET	What is the general emergency number in Ethiopia?	112
am-ET_004	am-ET	What is the fire department emergency number in Ethiopia?	112
am-ET_006	am-ET	What is the official currency used in Ethiopia?	Euro
am-ET_007	am-ET	What do people in Ethiopia mostly use for payments?	cash
am-ET_008	am-ET	What is the typical tipping percentage in restaurants in Ethiopia?	50%
am-ET_009	am-ET	Are prices in Ethiopia usually displayed including or excluding tax?	before
am-ET_011	am-ET	What is a common breakfast dish in Ethiopia?	bread
am-ET_012	am-ET	What do people in Ethiopia usually eat for lunch?	chicken
am-ET_013	am-ET	What time do people in Ethiopia generally have dinner?	night
am-ET_014	am-ET	What is a traditional national dish in Ethiopia?	bread
am-ET_015	am-ET	What is the most popular non-alcoholic drink in Ethiopia?	coffee
am-ET_017	am-ET	What are meals in Ethiopia typically served with?	rice
am-ET_019	am-ET	What do people in Ethiopia eat with?	hands
am-ET_020	am-ET	What is the main national holiday in Ethiopia?	Sunday
am-ET_021	am-ET	When is New Year's Day celebrated in Ethiopia?	Sunday
am-ET_022	am-ET	What time do shops in Ethiopia usually open in the morning?	6
am-ET_023	am-ET	How many hours long is a typical workday in Ethiopia?	eight
am-ET_024	am-ET	When is summer vacation for schools in Ethiopia?	session
am-ET_025	am-ET	What is a major cultural festival in Ethiopia?	coming
am-ET_026	am-ET	What do people in cities in Ethiopia most commonly commute to work by?	car
am-ET_027	am-ET	Which side of the road do people drive on in Ethiopia?	same
am-ET_028	am-ET	How do people usually get from the airport to the city center in Ethiopia?	bus
am-ET_029	am-ET	What is the main type of public transit in big cities in Ethiopia?	bus
am-ET_030	am-ET	At what age do children in Ethiopia start primary school?	6
am-ET_031	am-ET	What is the typical retirement age in Ethiopia?	65
am-ET_032	am-ET	What do students in public schools in Ethiopia wear as uniforms?	jeans
am-ET_033	am-ET	What is the typical summer weather like in Ethiopia?	warm
am-ET_034	am-ET	When is the rainy season in Ethiopia?	here
am-ET_035	am-ET	What is the climate in Ethiopia generally like?	warm
am-ET_036	am-ET	What is the best time of year to visit Ethiopia?	spring
am-ET_037	am-ET	Where are most cities in Ethiopia located?	in
am-ET_038	am-ET	Where do people in Ethiopia usually buy groceries?	home
am-ET_039	am-ET	What is the standard voltage for electrical outlets in Ethiopia?	220
am-ET_040	am-ET	What are public restrooms in Ethiopia usually like?	free
am-ET_041	am-ET	What do people in Ethiopia commonly pay with?	cash
am-ET_042	am-ET	What is the legal drinking age in Ethiopia?	18
am-ET_043	am-ET	How do people in Ethiopia usually greet each other?	name
am-ET_044	am-ET	What is it polite to do before entering a home in Ethiopia?	ask
am-ET_045	am-ET	What is the most popular mobile phone brand in Ethiopia?	Samsung
am-ET_046	am-ET	What is the most commonly used messaging app in Ethiopia?	WhatsApp
am-ET_047	am-ET	What is the most popular search engine in Ethiopia?	Google
ha-NG_001	ha-NG	What is the emergency telephone number for police in Northern Nigeria?	112
ha-NG_002	ha-NG	What number should I call for an ambulance in Northern Nigeria?	999
ha-NG_003	ha-NG	What is the general emergency number in Northern Nigeria?	112
ha-NG_004	ha-NG	What is the fire department emergency number in Northern Nigeria?	112
ha-NG_006	ha-NG	What is the official currency used in Northern Nigeria?	Nigeria
ha-NG_007	ha-NG	What do people in Northern Nigeria mostly use for payments?	cash
ha-NG_008	ha-NG	What is the typical tipping percentage in restaurants in Northern Nigeria?	50%
ha-NG_009	ha-NG	Are prices in Northern Nigeria usually displayed including or excluding tax?	before
ha-NG_010	ha-NG	What is the name of the central bank in Northern Nigeria?	Nigeria
ha-NG_011	ha-NG	What is a common breakfast dish in Northern Nigeria?	bread
ha-NG_012	ha-NG	What do people in Northern Nigeria usually eat for lunch?	fish
ha-NG_013	ha-NG	What time do people in Northern Nigeria generally have dinner?	night
ha-NG_015	ha-NG	What is the most popular non-alcoholic drink in Northern Nigeria?	coffee
ha-NG_017	ha-NG	What are meals in Northern Nigeria typically served with?	rice
ha-NG_019	ha-NG	What do people in Northern Nigeria eat with?	hands
ha-NG_020	ha-NG	What is the main national holiday in Northern Nigeria?	Sunday
ha-NG_021	ha-NG	When is New Year's Day celebrated in Northern Nigeria?	Saturday
ha-NG_022	ha-NG	What time do shops in Northern Nigeria usually open in the morning?	7
ha-NG_023	ha-NG	How many hours long is a typical workday in Northern Nigeria?	eight
ha-NG_024	ha-NG	When is summer vacation for schools in Northern Nigeria?	session
ha-NG_025	ha-NG	What is a major cultural festival in Northern Nigeria?	here
ha-NG_026	ha-NG	What do people in cities in Northern Nigeria most commonly commute to work by?	car
ha-NG_027	ha-NG	Which side of the road do people drive on in Northern Nigeria?	same
ha-NG_028	ha-NG	How do people usually get from the airport to the city center in Northern Nigeria?	bus
ha-NG_029	ha-NG	What is the main type of public transit in big cities in Northern Nigeria?	bus
ha-NG_030	ha-NG	At what age do children in Northern Nigeria start primary school?	6
ha-NG_031	ha-NG	What is the typical retirement age in Northern Nigeria?	65
ha-NG_032	ha-NG	What do students in public schools in Northern Nigeria wear as uniforms?	jeans
ha-NG_033	ha-NG	What is the typical summer weather like in Northern Nigeria?	warm
ha-NG_034	ha-NG	When is the rainy season in Northern Nigeria?	here
ha-NG_035	ha-NG	What is the climate in Northern Nigeria generally like?	mild
ha-NG_036	ha-NG	What is the best time of year to visit Northern Nigeria?	spring
ha-NG_037	ha-NG	Where are most cities in Northern Nigeria located?	in
ha-NG_038	ha-NG	Where do people in Northern Nigeria usually buy groceries?	home
ha-NG_039	ha-NG	What is the standard voltage for electrical outlets in Northern Nigeria?	220
ha-NG_040	ha-NG	What are public restrooms in Northern Nigeria usually like?	free
ha-NG_041	ha-NG	What do people in Northern Nigeria commonly pay with?	cash
ha-NG_042	ha-NG	What is the legal drinking age in Northern Nigeria?	18
ha-NG_043	ha-NG	How do people in Northern Nigeria usually greet each other?	name
ha-NG_044	ha-NG	What is it polite to do before entering a home in Northern Nigeria?	ask
ha-NG_045	ha-NG	What is the most popular mobile phone brand in Northern Nigeria?	Samsung
